89, n007-end, 831780779764259107/9007199254740992
87, n007-init, 415970796932631419/4503599627370496
65, n002-end, 415990926889752117/4503599627370496
83, n007-end, 833741381757339807/9007199254740992
64, n002-init, 417227197620899617/4503599627370496
78, n004-init, 834704727126171039/9007199254740992
77, n007-end, 835300639351393263/9007199254740992
63, initial, 26211826240253927/281474976710656
91, n009-end, 839697795978165179/9007199254740992
89, n014-init, 419984183426644025/4503599627370496
85, n027-init, 420019910410662869/4503599627370496
73, n004-end, 26299808070726883/281474976710656
64, n002-end, 210679708457184589/2251799813685248
70, n004-end, 423033011640743903/4503599627370496
87, n007-end, 423381760046672531/4503599627370496
63, n002-init, 423741243520893679/4503599627370496
63, n002-end, 423741243520893679/4503599627370496
65, n004-init, 848315953678382023/9007199254740992
89, n014-end, 425176483285248361/4503599627370496
83, n014-init, 425176483285248361/4503599627370496
88, n021-end, 426775553739881375/4503599627370496
91, n021-init, 426775553739881375/4503599627370496
82, n004-end, 426934844135420501/4503599627370496
83, n014-end, 429311495783910963/4503599627370496
77, n014-init, 429311495783910963/4503599627370496
86, n004-end, 860864127050885707/9007199254740992
64, n004-init, 430710718440154289/4503599627370496
73, n004-init, 431142408041268117/4503599627370496
72, n004-end, 431572655529295359/4503599627370496
66, n004-end, 432019845672637567/4503599627370496
62, initial, 13541203794835291/140737488355328
77, n014-end, 433730013308309757/4503599627370496
87, n014-init, 433730013308309757/4503599627370496
63, n004-init, 435012084475565815/4503599627370496
82, n007-init, 872781198539555529/9007199254740992
82, n007-end, 872781198539555529/9007199254740992
70, n004-init, 437079004440341451/4503599627370496
62, n002-init, 875408878926723603/9007199254740992
62, n002-end, 875793446108669129/9007199254740992
87, n014-end, 54784024472213837/562949953421312
89, n017-init, 54784024472213837/562949953421312
88, n028-init, 110166206061441425/1125899906842624
72, n007-init, 883863633095578169/9007199254740992
91, n021-end, 441977711761789231/4503599627370496
66, n007-init, 442298860343362315/4503599627370496
86, n004-init, 445039340891882221/4503599627370496
89, n017-end, 445672573419369517/4503599627370496
83, n017-init, 445672573419369517/4503599627370496
61, initial, 13944076606289023/140737488355328
62, n004-init, 446617514543789577/4503599627370496
89, n009-init, 28121801042649587/281474976710656
61, n002-init, 901220523391253545/9007199254740992
67, n004-end, 901514003704778287/9007199254740992
69, n004-end, 451628729952957431/4503599627370496
83, n017-end, 452150647516934905/4503599627370496
82, n014-init, 452150647516934905/4503599627370496
89, n009-end, 56541505169037191/562949953421312
75, n004-end, 905851048000450243/9007199254740992
61, n002-end, 906579015492428369/9007199254740992
89, n021-init, 226652901154925045/2251799813685248
89, n020-init, 454402311006556255/4503599627370496
89, n020-end, 910744341292045029/9007199254740992
83, n009-init, 228394819167691919/2251799813685248
60, initial, 57102228662068847/562949953421312
82, n014-end, 228682228986255161/2251799813685248
77, n017-init, 228682228986255161/2251799813685248
66, n007-end, 459907566910181893/4503599627370496
72, n007-end, 921308510501384713/9007199254740992
83, n020-init, 461192230462930635/4503599627370496
83, n020-end, 461192230462930635/4503599627370496
60, n002-init, 922399703558430699/9007199254740992
61, n004-init, 923691849856391731/9007199254740992
75, final, 462903924818008487/4503599627370496
69, n004-init, 463886129238402263/4503599627370496
67, n004-init, 928978668473248921/9007199254740992
77, n017-end, 232277780586012795/2251799813685248
87, n017-init, 232277780586012795/2251799813685248
77, n009-init, 936630452566294817/9007199254740992
83, n021-init, 234319695479430295/2251799813685248
83, n021-end, 234319695479430295/2251799813685248
94, n004-end, 937358150424723581/9007199254740992
60, n002-end, 938028833023802563/9007199254740992
77, n021-init, 58989655214511819/562949953421312
77, n009-end, 944098056842494141/9007199254740992
77, n020-init, 945429220778472883/9007199254740992
59, initial, 59315874967565115/562949953421312
87, n017-end, 238484179322407145/2251799813685248
66, n014-init, 238484179322407145/2251799813685248
59, n002-init, 479435552276730865/4503599627370496
87, n009-init, 240100185847302885/2251799813685248
60, n004-init, 960742957070657339/9007199254740992
80, n004-end, 120155312872713271/1125899906842624
71, n004-end, 962911989505359287/9007199254740992
89, n021-end, 240904449676753817/2251799813685248
66, n014-end, 240924698313638163/2251799813685248
72, n014-init, 240924698313638163/2251799813685248
67, n004-end, 963870036370324197/9007199254740992
94, n004-init, 482998198023406059/4503599627370496
83, n009-end, 242130822056775475/2251799813685248
77, n020-end, 968787149505763215/9007199254740992
87, n021-init, 485308504203645005/4503599627370496
81, n004-end, 485440609387019971/4503599627370496
59, n002-end, 242922098109006705/2251799813685248
87, n020-init, 972451732527706597/9007199254740992
85, n027-end, 486683543174889165/4503599627370496
83, n027-init, 486683543174889165/4503599627370496
72, n014-end, 486924745764424119/4503599627370496
82, n017-init, 486924745764424119/4503599627370496
80, final, 978272890807658891/9007199254740992
67, final, 979347147547088545/9007199254740992
59, n004-init, 495384466876917329/4503599627370496
71, n004-init, 991451031307543477/9007199254740992
87, n009-end, 247892931339967989/2251799813685248
85, final, 15529689569021965/140737488355328
87, n020-end, 994422645974988189/9007199254740992
81, n004-init, 499282599224134973/4503599627370496
62, n004-end, 501815478052689601/4503599627370496
82, n017-end, 507343893766898015/4503599627370496
66, n016-init, 507343893766898015/4503599627370496
87, n021-end, 509246615533284297/4503599627370496
82, n009-init, 63871171945939601/562949953421312
66, n016-end, 512229749583220653/4503599627370496
72, n016-init, 512229749583220653/4503599627370496
58, initial, 64122001614760593/562949953421312
82, n021-init, 1028827131733084443/9007199254740992
82, n020-init, 1030617324022978281/9007199254740992
72, n016-end, 515744313367930389/4503599627370496
62, n004-init, 129092141589267183/1125899906842624
58, n002-init, 259068494592943351/2251799813685248
71, n004-end, 1036763278382391341/9007199254740992
77, n021-end, 64907582657356941/562949953421312
66, n011-init, 1040773205914294181/9007199254740992
58, n002-end, 1041941992195024541/9007199254740992
82, n020-end, 1042566948052012217/9007199254740992
83, n027-end, 522134078001698765/4503599627370496
87, n027-init, 522611197871758345/4503599627370496
68, n004-end, 1045552674342914189/9007199254740992
70, n004-end, 523730513070763483/4503599627370496
72, n011-init, 524003049853638347/4503599627370496
74, n004-end, 527959695060082263/4503599627370496
82, n009-end, 16558159091201523/140737488355328
61, n004-end, 1060114439408736067/9007199254740992
57, initial, 66273081830018401/562949953421312
82, n021-end, 1061311012453322419/9007199254740992
58, n004-init, 1062531912378548553/9007199254740992
68, final, 1063745539113662789/9007199254740992
71, n004-init, 1064304959237242115/9007199254740992
83, final, 1065759293420728677/9007199254740992
57, n002-init, 533584532784987687/4503599627370496
56, initial, 4185819888109975/35184372088832
64, n004-end, 536625653900713233/4503599627370496
70, n004-init, 537048006618543231/4503599627370496
74, n007-init, 538513569417644311/4503599627370496
56, n002-init, 1079111031006009019/9007199254740992
55, initial, 67550134820968847/562949953421312
61, n004-init, 1082259222588637653/9007199254740992
78, n004-end, 1082396041304099807/9007199254740992
57, n002-end, 541389237596971285/4503599627370496
65, n004-end, 1083939962726764103/9007199254740992
86, n004-end, 542191982845436589/4503599627370496
54, initial, 33944574520274057/281474976710656
55, n002-init, 544419367771624567/4503599627370496
56, n002-end, 1089495184532470657/9007199254740992
72, n011-end, 546685654556871219/4503599627370496
81, n004-end, 546936673069219221/4503599627370496
54, n002-init, 548305158880597043/4503599627370496
